time_id,hour,minute,time_am_or_pm
1426,12,45,PM
1427,12,46,PM
1428,12,47,PM
1429,12,48,PM
1430,12,49,PM
1431,12,50,PM
1432,12,51,PM
1433,12,52,PM
1434,12,53,PM
1435,12,54,PM
1436,12,55,PM
1437,12,56,PM
1438,12,57,PM
1439,12,58,PM
1440,12,59,PM
